title,division,department,salary
Librarian,Library Services,Library Services,18885
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,18813
Adjunct - English Education,Communication/English/Media,Communication/English/Media,18803
Transportation Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,18772
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,18759
Promotional Assistant,Washington Center,Washington Center,18712
Tutor,Instruction,Instruction,18625
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,18594
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,18577
JN - Arts/Science Academy Onsite,Jones County Regional Center,Jones County Regional Center,18480
Adjunct - Iowa City Campus,Iowa City Campus,Iowa City Campus,18470
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,18470
Coordinator,Williamsburg Center,Williamsburg Center,18453
Instructor,Secondary Programs,Secondary Programs,18429
Adjunct - Social Sciences,Social Sciences,Social Sciences,18424
Retiree,Belle Plain Center,Belle Plain Center,18402
Lead Sales Associate - CR,Bookstore,Bookstore,18393
Instructor,Secondary Programs,Secondary Programs,18262
Tutor,Instruction,Instruction,18214
Program Coordinator,Workplace Learning Connection,Workplace Learning Connection,18107
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,17922
Adjunct - Social Sciences,Social Sciences,Social Sciences,17920
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,17874
Accelerated LNCR -Adjunct,Linn County Regional Center,Linn County Regional Center,17874
Adjunct - Math/Science,Math/Science,Math/Science,17872
Career Counselor,Jones County Regional Center,Jones County Regional Center,17861
PT Bartender,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,17772
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,17737
Test Center Associate,Learning Services,Learning Services,17731
Adjunct - Business Education,Business and Information Tech,Business and Information Tech,17714
Student Support Specialist,Enrollment Management,Enrollment Management,17620
Esl Instructor,Secondary Programs,Secondary Programs,17579
Manager,Maintenance,Facilities & Security,17510
PT AV Technician,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,17492
PT TCA Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,17488
Pt Server-Restaurant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,17435
Lab Technician,Industrial Technologies,Industrial Technologies,17373
Guest Service Representative,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,17361
Esl Instructor,Secondary Programs,Secondary Programs,17325
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,17318
JH -Patient Care,Iowa City Campus,Iowa City Campus,17280
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,17280
Lead Maintenance Tech,Facilities & Security,Facilities & Security,17270
Grounds Maintenance Worker,Facilities & Security,Facilities & Security,17257
Pt Server-Restaurant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,17217
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,17200
PT Steward,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,17166
Payroll and Benefits Advisor,Human Resources,Human Resources,17140
TCA Lead Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,17125
Adj -CBE Project for Bus & IT,Business and Information Tech,Business and Information Tech,16994
Adjunct - Dental Assisting,Allied Health,Allied Health,16930
Sales Associate-Main Campus,Bookstore,Bookstore,16906
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,16897
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,16845
Payroll and Benefits Advisor,Human Resources,Human Resources,16787
Lead IEC Associate,Finance,Finance,16781
Student Support Specialist,Enrollment Management,Enrollment Management,16720
Adjunct - Interior Design,Business and Information Tech,Business and Information Tech,16690
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,16690
Adjunct - Iowa City Campus,Iowa City Campus,Iowa City Campus,16640
Adjunct - Iowa City Campus,Iowa City Campus,Iowa City Campus,16616
Office Assistant,Williamsburg Center,Williamsburg Center,16264
Retail Team Lead,Bookstore,Bookstore,16257
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,16200
Lead Sales Associate - CR,Bookstore,Bookstore,16169
Office Assistant,Workplace Learning Connection,Workplace Learning Connection,16140
Office Assitant,Regional Center at U of I,Regional Center at U of I,16119
Test Center Associate,Learning Services,Learning Services,16090
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,16056
LN- Architect/Construction,Linn County Regional Center,Linn County Regional Center,15987
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,15909
Custodian,Facilities & Security,Facilities & Security,15878
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,15859
Restaurant Supervisor,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,15852
Electro-Mechanical Technician,Facilities & Security,Facilities & Security,15842
Adjunct - Iowa City Campus,Iowa City Campus,Iowa City Campus,15788
Adjunct - Welding,Industrial Technologies,Industrial Technologies,15730
Sales Associate-Main Campus,Bookstore,Bookstore,15715
Transportation Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,15667
Library Associate,Library Services,Library Services,15557
Test Center Associate,Learning Services,Learning Services,15495
JH -Arts/Science Onsite Bus/Ed/Criminal,Iowa City Campus,Iowa City Campus,15460
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,15460
BN -Arts/Science Onsite Bus/Ed/Criminal,Vinton Center,Vinton Center,15460
Tutor,Instruction,Instruction,15434
Library Associate,Library Services,Library Services,15422
Adjunct - Business Education,Business and Information Tech,Business and Information Tech,15410
Adjunct - Social Sciences,Social Sciences,Social Sciences,15410
Adjunct - Business Education,Business and Information Tech,Business and Information Tech,15410
JH -Arts/Science Onsite Bus/Ed/Criminal,Iowa City Campus,Iowa City Campus,15410
Adjunct - Computer Programming,Business and Information Tech,Business and Information Tech,15410
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,15410
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,15410
Custodian,Facilities & Security,Facilities & Security,15402
Iowa City Cafe Cashier,Iowa City Campus,Iowa City Campus,15391
Accelerated LNCR -Adjunct,Linn County Regional Center,Linn County Regional Center,15362
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,15360
Adjunct - Firefighter - Entry Level,Industrial Technologies,Industrial Technologies,15360
JN - Arts/Science Academy Onsite,Jones County Regional Center,Jones County Regional Center,15360
Social Science (Instructional Overload-Ft Faculty),Social Sciences,Social Sciences,15360
WA-Arts/Science Onsite Bus/Ed/Criminal,Washington Center,Washington Center,15360
LN-A&S Onsite Bus/Ed/Criminal (FT Instructional Ovrld),Linn County Regional Center,Linn County Regional Center,15360
Adjunct - Criminal Justice,Social Sciences,Social Sciences,15338
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,15338
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,15285
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,15268
Test Center Associate,Learning Services,Learning Services,15263
Adjunct - Physical Therapy Assistant,Allied Health,Allied Health,15132
Operations Specialist,Secondary Programs,Secondary Programs,15131
Associate Professor,Information Technology,Business and Information Tech,15016
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,14899
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,14890
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,14876
Transportation Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,14795
Operations Specialist,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,14746
PT Laundry Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,14743
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,14741
Adjunct - ESL,International Programs,International Programs,14722
Office Assistant,Jones County Regional Center,Jones County Regional Center,14722
Pt Server-Restaurant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,14649
Esl Instructor,Secondary Programs,Secondary Programs,14598
Program Coordinator,Iowa City Campus,Iowa City Campus,14569
PT Laundry Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,14556
Adjunct - ESL,International Programs,International Programs,14515
Grounds Worker,Facilities & Security,Facilities & Security,14486
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,14449
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,14449
Transportation Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,14422
JN - Graphics,Jones County Regional Center,Jones County Regional Center,14340
Career Coach,Dean of Students Office,Dean of Students Office,14306
Center Coordinator,Regional Center at U of I,Regional Center at U of I,14285
Adjunct - English Education,Communication/English/Media,Communication/English/Media,14280
Adjunct - Occupational Therapy Assisting,Allied Health,Allied Health,14196
PT Bakery Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,14187
Adjunct - English Education,Communication/English/Media,Communication/English/Media,14180
Pt Banquet Set Up,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,14175
Adjunct - English Education,Communication/English/Media,Communication/English/Media,14130
Office Clerk,International Programs,International Programs,14103
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,14082
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,14000
Program Assistant,Learning Services,Learning Services,13947
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,13942
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,13939
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,13927
Transportation Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,13894
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,13820
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,13721
Program Assistant,Learning Services,Learning Services,13718
Adjunct - College Credit in High School,College Credit in High School,College Credit in High School,13641
PT Laundry Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,13615
PT Guest Room Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,13607
Records Specialist,Enrollment Management,Enrollment Management,13340
Assistant Professor,Biology,Math/Science,13276
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,13272
Adjunct - Medical Assisting,Allied Health,Allied Health,13254
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,13244
Art Studio Assistant,Arts/Humanities,Arts/Humanities,13239
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,13150
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,13130
PT AV Technician,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,13101
Transportation Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,13090
Caf Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,13043
Technology Sales,Bookstore,Bookstore,13042
PT Cafe Cashier,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,13006
AMT,Student Recruitment and Retention Specialist,Industrial Technologies,13000
PT Guest Room Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,12976
Adjunct - English Education,Communication/English/Media,Communication/English/Media,12961
Steward,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,12902
Tutor,Instruction,Instruction,12800
Cafe Cashier,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,12798
Pt Server-Restaurant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,12795
Academic Advisor,Academic Advising,Academic Advising,12782
Seasonal Grounds Worker,Facilities & Security,Facilities & Security,12654
Maintenance Technician,Facilities & Security,Facilities & Security,12641
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,12618
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,12578
PT Steward,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,12534
Workforce Career Consultant,Skills to Employment,Skills to Employment,12454
Assistant Professor,Nursing,Nursing Programs,12442
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,12409
Overnight Guest Services Rep,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,12393
Pt Banquet Set Up,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,12381
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,12375
Server Restaurant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,12373
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,12295
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,12294
Retail Team Lead,Bookstore,Bookstore,12270
Night Bell Staff,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,12270
PT Cafe Cashier,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,12224
Asst Rest/Bev Manager,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,12215
IEC Associate,Finance,Finance,12170
Esl Instructor,Secondary Programs,Secondary Programs,12162
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,12152
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,12144
Farm Technician,Agricultural Science,Agricultural Science,12083
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,12054
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,12040
Caf Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,12000
PT Guest Room Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,11953
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,11921
Custodian,Facilities & Security,Facilities & Security,11919
Adjunct - Computer LAN Technology,Business and Information Tech,Business and Information Tech,11898
Pt Banquet Set Up,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,11886
PT Cafe Cashier,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,11825
Seasonal Grounds Worker,Facilities & Security,Facilities & Security,11809
SSI Tutor,International Programs,International Programs,11796
Instructor,Secondary Programs,Secondary Programs,11775
Adult Literary Assistant,Secondary Programs,Secondary Programs,11763
Department Assistant,Learning Services,Learning Services,11758
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,11690
PT Guest Room Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,11683
PT Linn Hall Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,11643
Systems Administrator III,IT Services,IT Services,11625
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,11620
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,11620
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,11620
Tutor,Instruction,Instruction,11594
Adjunct - Hospitality,Hospitality Arts,Hospitality Arts,11570
Adjunct - Interior Design,Business and Information Tech,Business and Information Tech,11570
Adjunct - English Education,Communication/English/Media,Communication/English/Media,11570
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,11570
SSI Tutor,International Programs,International Programs,11549
JH -Computer Software Development,Iowa City Campus,Iowa City Campus,11520
LN -Arts/Science Onsite Bus/Ed/Criminal,Linn County Regional Center,Linn County Regional Center,11520
Adjunct - English Education,Communication/English/Media,Communication/English/Media,11520
Adjunct - Math/Science,Math/Science,Math/Science,11520
JN - Arts/Science Academy Onsite,Jones County Regional Center,Jones County Regional Center,11520
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,11520
Adjunct - Construction Technology,Industrial Technologies,Industrial Technologies,11520
Adjunct - Iowa City Campus,Iowa City Campus,Iowa City Campus,11520
WA -Ag Science,Washington Center,Washington Center,11520
JH -Arts/Science Onsite Bus/Ed/Criminal,Iowa City Campus,Iowa City Campus,11520
Adjunct - Social Sciences,Social Sciences,Social Sciences,11520
Public Safety Officer II,Facilities & Security,Facilities & Security,11500
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,11472
Instructor,Secondary Programs,Secondary Programs,11459
PT Bartender - Banquet,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,11372
IEC Associate,Finance,Finance,11342
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,11304
Custodian,Facilities & Security,Facilities & Security,11303
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,11293
PT Guest Room Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,11246
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,11238
Lead Sales Associate - CR,Bookstore,Bookstore,11222
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,11210
Office Assistant,Vinton Center,Vinton Center,11136
Adjunct - Dental Hygiene,Allied Health,Allied Health,11072
PT Laundry Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,11052
Guest Room Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,11015
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,10954
Pt Server-Restaurant Trainer,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,10945
Adjunct -Pharmacy Tech (Main Campus),Allied Health,Allied Health,10930
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,10873
Transportation Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,10830
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,10827
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,10802
Academic Advisor,Academic Advising,Academic Advising,10800
Tutor - Walk-In,Learning Services,Learning Services,10798
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,10702
Academic Advisor,Academic Advising,Academic Advising,10698
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,10684
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,10612
Adjunct - ESL,International Programs,International Programs,10571
Media Technician,Iowa City Campus,Iowa City Campus,10545
Career Counselor/Coach,Dean of Students Office,Dean of Students Office,10492
Pt Banquet Set Up,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,10408
Esl Instructor,Secondary Programs,Secondary Programs,10391
PT Guest Room Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,10363
Instructor,Secondary Programs,Secondary Programs,10350
Assistant Coach-Women's Softball,Athletics,Athletics,10311
Instructor,Criminal Justice,Social Sciences,10303
Student Support Specialist,Enrollment Management,Enrollment Management,10303
JN -Pre-Professional Academy (Adjunct),Jones County Regional Center,Jones County Regional Center,10294
Tutor,Instruction,Instruction,10290
Adjunct - Business Education,Business and Information Tech,Business and Information Tech,10290
Adjunct - Computer LAN Technology,Business and Information Tech,Business and Information Tech,10266
Adjunct -Med Lab Tech,Allied Health Programs,Allied Health,10240
LN -Arts/Science Onsite Bus/Ed/Criminal,Linn County Regional Center,Linn County Regional Center,10240
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,10240
Adjunct - Medical Assisting,Allied Health,Allied Health,10240
Adjunct - Iowa City Campus,Iowa City Campus,Iowa City Campus,10240
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,10192
Adj -CBE Project for Bus & IT,Business and Information Tech,Business and Information Tech,10131
Financial Aid Advisor I,Enrollment Management,Enrollment Management,10117
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,10058
PT Bell Stand,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,10055
Office Clerk,Enrollment Management,Enrollment Management,10019
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,10010
Instructor,Secondary Programs,Secondary Programs,9982
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,9980
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,9933
Student Support Specialist,Learning Services,Learning Services,9932
Office Clerk,Business and Information Tech,Business and Information Tech,9912
PT Guest Room Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,9892
Adjunct - Dental Hygiene,Allied Health,Allied Health,9889
Mail Associate,Facilities & Security,Facilities & Security,9876
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,9868
Mail Associate,Facilities & Security,Facilities & Security,9864
Office Assistant,Linn County Regional Center,Linn County Regional Center,9782
Instructor/Coordinator,Secondary Programs,Secondary Programs,9707
Lab Associate,IT Services,IT Services,9705
Pt Banquet Set Up,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,9646
Pt Greeter,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,9567
Caf General Manager,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,9530
Custodian,Facilities & Security,Facilities & Security,9463
Guest Service Representataive,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,9451
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,9440
Restaurant and Beverage Manager,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,9426
IEC Associate,Finance,Finance,9424
PT Steward,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,9343
Sales Associate-Main Campus,Bookstore,Bookstore,9278
Program Assistant,Learning Services,Learning Services,9262
Office Assistant,Secondary Programs,Secondary Programs,9222
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,9170
TCA Line Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,9162
Library Associate,Library Services,Library Services,9159
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,9111
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,9087
Adjunct - Iowa City Campus,Iowa City Campus,Iowa City Campus,9071
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,9059
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,9010
PT Laundry Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,9005
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,8960
Tutor,Instruction,Instruction,8960
Adjunct - Iowa City Campus,Iowa City Campus,Iowa City Campus,8960
Work Study-Iowa City Campus,Iowa City Campus,Iowa City Campus,8960
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,8956
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,8939
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,8936
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,8890
Sales Associate-Main Campus,Bookstore,Bookstore,8884
Pt Cafe Steward,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,8871
Office Assistant,Student Equity Inclusion & Sup,Student Equity Inclusion & Sup,8864
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,8809
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,8783
Test Center Associate,Iowa City Campus,Iowa City Campus,8772
PT Steward,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,8722
Instructor,Secondary Programs,Secondary Programs,8714
PT Steward,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,8671
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,8640
Program Advisor,TRIO,Admissions,8622
Tutor - Walk-In,Learning Services,Learning Services,8619
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,8615
Student Support Specialist,Enrollment Management,Enrollment Management,8596
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,8545
Art Studio Assistant,Arts/Humanities,Arts/Humanities,8523
Adjunct,Parks & Natural Resources,Agricultural Science,8518
Custodian,Facilities & Security,Facilities & Security,8501
Sales Associate-Iowa City,Bookstore,Bookstore,8499
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,8478
Lab Associate,IT Services,IT Services,8421
Pt Banquet Set Up,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,8391
Banquet Captain,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,8366
PT Guest Room Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,8355
Athletic Department Support Staff,Athletics,Athletics,8310
Student Support Specialist,Enrollment Management,Enrollment Management,8286
Tutor,Instruction,Instruction,8276
PT Laundry Attendant,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,8274
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,8260
Transportation Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,8250
CC in HS Administration,College Credit in High School,College Credit in High School,8234
Asst Rest/Bev Manager,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,8220
Adjunct - Nursing Assoc. Degree,Nursing Programs,Nursing Programs,8192
Banquet Lead Cook,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,8166
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,8140
Tutor,Instruction,Instruction,8131
Adjunct - Math/Science,Math/Science,Math/Science,8108
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,8084
Test Center Associate,Learning Services,Learning Services,8048
PT Bartender,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,8019
Office Clerk,Iowa City Campus,Iowa City Campus,8016
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,7976
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,7970
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,7964
Office Clerk,Dean of Students Office,Dean of Students Office,7961
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,7939
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,7917
Overnight Guest Services Rep,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,7896
Associate Professor,Horticulture,Agricultural Science,7859
Adj -Med Lab Tech Instructor,Allied Health,Allied Health,7845
Public Safety Officer,Facilities & Security,Facilities & Security,7845
Adjunct - Business Education,Business and Information Tech,Business and Information Tech,7830
Continuing Education Instructor,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,7810
WA-Arts/Science Onsite Bus/Ed/Criminal,Washington Center,Washington Center,7780
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,7780
Temp Skills-To-Employment,Skills to Employment,Skills to Employment,7748
Adjunct - Social Sciences,Social Sciences,Social Sciences,7730
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,7730
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,7730
Adjunct - Distance Learning,Distance Learning,Distance Learning,7730
WA-Arts/Science Onsite Bus/Ed/Criminal,Washington Center,Washington Center,7730
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,7730
Adjunct - Computer LAN Technology,Business and Information Tech,Business and Information Tech,7730
Adjunct - Human Services,Social Sciences,Social Sciences,7730
Adjunct - Criminal Justice,Social Sciences,Social Sciences,7730
Adjunct - Arts & Humanities,Arts/Humanities,Arts/Humanities,7730
JH -Arts/Science Onsite Bus/Ed/Criminal,Iowa City Campus,Iowa City Campus,7730
JH -Arts/Science Onsite Bus/Ed/Criminal,Iowa City Campus,Iowa City Campus,7730
PT Banquet Server,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,7726
Adjunct - Guided Self-Study,Distance Learning,Distance Learning,7680
JH -Arts/Science Onsite Bus/Ed/Criminal,Iowa City Campus,Iowa City Campus,7680
WA-Arts/Science Onsite Bus/Ed/Criminal,Washington Center,Washington Center,7680
WA -Graphics,Washington Center,Washington Center,7680
Adjunct - Williamsburg Center,Williamsburg Center,Williamsburg Center,7680
